bird_sp,bird_num,f_key,key
h_cendre,2,uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d,uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d/intro_bird/bird_ipa[1]
h_cendre,4,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92/intro_bird/bird_ipa[1]
g_aigrette,2,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92/intro_bird/bird_ipa[2]
m_rieuse,1,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92/intro_bird/bird_ipa[3]
cormo,19,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a/intro_bird/bird_ipa[1]
h_cendre,1,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a/intro_bird/bird_ipa[2]
c_tuber,4,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e/intro_bird/bird_ipa[1]
h_cendre,19,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e/intro_bird/bird_ipa[2]
g_aigrette,1,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e/intro_bird/bird_ipa[3]
c_tuber,33,uuid:f0215a53-22c8-4939-99f9-191b54417c11,uuid:f0215a53-22c8-4939-99f9-191b54417c11/intro_bird/bird_ipa[1]
h_cendre,4,uuid:f0215a53-22c8-4939-99f9-191b54417c11,uuid:f0215a53-22c8-4939-99f9-191b54417c11/intro_bird/bird_ipa[2]
cormo,2,uuid:e41f8594-1054-4bb0-a743-706a894dcc58,uuid:e41f8594-1054-4bb0-a743-706a894dcc58/intro_bird/bird_ipa[1]
h_cendre,2,uuid:e41f8594-1054-4bb0-a743-706a894dcc58,uuid:e41f8594-1054-4bb0-a743-706a894dcc58/intro_bird/bird_ipa[2]
g_aigrette,22,uuid:e41f8594-1054-4bb0-a743-706a894dcc58,uuid:e41f8594-1054-4bb0-a743-706a894dcc58/intro_bird/bird_ipa[3]
