id,bird_sp,bird_num,f_key
1,h_cendre,2,uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d
2,h_cendre,4,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92
3,g_aigrette,2,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92
4,m_rieuse,1,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92
5,cormo,19,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a
6,h_cendre,1,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a
7,c_tuber,4,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e
8,h_cendre,19,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e
9,g_aigrette,1,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e
10,c_tuber,33,uuid:f0215a53-22c8-4939-99f9-191b54417c11
11,cormo,2,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
12,h_cendre,2,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
13,g_aigrette,22,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
14,c_tuber,1,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
15,g_huppe,43,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
16,g_casta,16,uuid:e41f8594-1054-4bb0-a743-706a894dcc58
17,h_cendre,43,uuid:305962d4-555c-4e1c-91af-68a80ea39c1a
18,m_rieuse,71,uuid:305962d4-555c-4e1c-91af-68a80ea39c1a
19,h_cendre,10,uuid:ee443500-15cc-4795-a88f-19d2631e0fd6
20,g_aigrette,2,uuid:ee443500-15cc-4795-a88f-19d2631e0fd6
21,h_cendre,4,uuid:21b65bbf-5e88-4543-be9e-b102ec7e6b1f
22,cormo,2,uuid:21b65bbf-5e88-4543-be9e-b102ec7e6b1f
23,h_cendre,1,uuid:f85c21c7-3b56-4f81-9de8-be645a4a789a
24,g_aigrette,1,uuid:f85c21c7-3b56-4f81-9de8-be645a4a789a
25,c_tuber,2,uuid:b0ca7781-4877-4284-9bbd-95b5f37526cb
26,h_cendre,3,uuid:3f1b93ae-d61d-4029-8a03-f39a1e4847dc
27,g_aigrette,1,uuid:3f1b93ae-d61d-4029-8a03-f39a1e4847dc
28,h_cendre,1,uuid:6b7663f8-1803-47ba-b2d0-5e586c3a6bc1
29,h_cendre,3,uuid:14dd8995-d823-46d0-a880-e1cdd62a2bbc
30,c_tuber,11,uuid:14dd8995-d823-46d0-a880-e1cdd62a2bbc
31,g_aigrette,1,uuid:14dd8995-d823-46d0-a880-e1cdd62a2bbc
32,c_tuber,8,uuid:b47afb1b-9b1a-4058-bfab-0c0c889fb91a
33,h_cendre,1,uuid:b47afb1b-9b1a-4058-bfab-0c0c889fb91a
34,h_cendre,1,uuid:7d6df7d9-8f38-4cf5-b7f9-c12ddbc77fff
35,g_aigrette,1,uuid:7d6df7d9-8f38-4cf5-b7f9-c12ddbc77fff
36,h_cendre,6,uuid:e433a98c-70d5-46c5-85cb-40f98fa35490
37,c_tuber,2,uuid:e433a98c-70d5-46c5-85cb-40f98fa35490
38,g_aigrette,4,uuid:e433a98c-70d5-46c5-85cb-40f98fa35490
39,h_cendre,1,uuid:b6893b9d-5399-4704-b50b-7a638e5e5239
40,c_tuber,1,uuid:a0e24c42-5c54-4157-9392-138cf45b815b
41,g_aigrette,1,uuid:a0e24c42-5c54-4157-9392-138cf45b815b
42,h_cendre,3,uuid:955cba59-60e4-4001-a80a-de9a3b7b4420
43,g_aigrette,2,uuid:955cba59-60e4-4001-a80a-de9a3b7b4420
44,h_cendre,2,uuid:83c3efd6-a9f8-40c4-84be-3ea6808deb92
45,g_aigrette,1,uuid:83c3efd6-a9f8-40c4-84be-3ea6808deb92
46,g_aigrette,1,uuid:91f4d583-2a86-4d72-ba2a-a1383e456df2
47,cormo,1,uuid:a851af75-0014-4c54-8872-0c6013fc7aed
48,g_aigrette,1,uuid:a851af75-0014-4c54-8872-0c6013fc7aed
49,h_cendre,1,uuid:a851af75-0014-4c54-8872-0c6013fc7aed
50,h_cendre,7,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
51,g_aigrette,2,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
52,m_rieuse,3,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
53,c_tuber,1,uuid:b50856af-2ce3-44ec-8728-d8d71b176da8
54,c_tuber,1,uuid:74daabaf-b074-42be-8034-986b6ea5f023
55,h_cendre,5,uuid:74daabaf-b074-42be-8034-986b6ea5f023
56,g_aigrette,1,uuid:74daabaf-b074-42be-8034-986b6ea5f023
57,h_cendre,3,uuid:7c519f3c-a250-44c2-8368-023befd1a567
58,cormo,1,uuid:7c519f3c-a250-44c2-8368-023befd1a567
59,c_tuber,6,uuid:7c519f3c-a250-44c2-8368-023befd1a567
