p_key,day,sub_name,y_lat,x_long,alt,accuracy,method_input,etg_name,etg_code,intro-thou,etg_state,assec_state,assec_culture,assec_com,bird_presence
uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d,2020-11-17,Pierre Levisse,45.98355791531503,4.973244667053223,340.0,3.5,nom,QUINSON,20705,F,E,,,,oui
uuid:4ba12981-b389-47d2-bf6d-6905b252fc92,2020-11-17,Pierre Levisse,45.989333423785865,4.968424737453461,334.0,4.5,nom,GRAVIER,20703,F,E,,,,oui
uuid:f53833c3-5be0-4629-9327-9ced7c7eccb1,2020-11-17,Pierre Levisse,45.98950466606766,4.968459103256464,339.0,4.5,nom,PLAT DU FEU,20704,F,A,Acnr,autre,Sorgho ,non
uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a,2020-11-17,Pierre Levisse,45.984367271885276,4.980771616101265,337.0,4.5,nom,LACROIX,20707,F,E,,,,oui
uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e,2020-11-17,Pierre Levisse,45.97333262208849,4.987465823069215,324.0,4.0,nom,GRAND GLAREINS O,20754,F,E,,,,oui
uuid:35568bbb-5baa-400c-a63a-104f2a68db6f,2020-11-17,Pierre Levisse,45.97287748474628,4.989944770932198,331.0,3.0,nom,PETIT GLAREINS,20709,F,A,ANC,,,non
uuid:f0215a53-22c8-4939-99f9-191b54417c11,2020-11-17,Pierre Levisse,45.972777027636766,4.9899056274443865,330.0,3.5,nom,GRAND GLAREINS E,20753,F,E,,,,oui
uuid:20cf5fb0-0880-4173-919a-d556e5a2dd47,2020-11-17,Pierre Levisse,45.93119042459875,5.00641361810267,327.0,4.5,nom,LONGEVAVRE,26215,NSP,A,ANC,,,non
uuid:e41f8594-1054-4bb0-a743-706a894dcc58,2020-11-17,Autre,46.070503,5.1773215,293.9797455240041,5.317,nom,GRAND MARAIS,14501,O,V,,,,oui
uuid:305962d4-555c-4e1c-91af-68a80ea39c1a,2020-11-17,Autre,46.0681814,5.1715243,306.17827324196696,6.224,nom,RONCINE,38170,F,RP,,,,oui
uuid:ee443500-15cc-4795-a88f-19d2631e0fd6,2020-11-17,Autre,46.0682651,5.1716229,310.3192587401718,6.531,nom,GAINE,38108,F,A,Acr,mais,,oui
uuid:21b65bbf-5e88-4543-be9e-b102ec7e6b1f,2020-11-17,Autre,46.0660417,5.1664204,313.1090182606131,4.979,nom,DEVANT,38118,F,E,,,,oui
uuid:bde97f8d-bb5b-4609-ab5e-039c48187f74,2020-11-17,Autre,46.0632803,5.1653452,336.97617685236037,4.935,nom,COTES,38117,F,A,Acr,avoine,,non
uuid:f85c21c7-3b56-4f81-9de8-be645a4a789a,2020-11-17,Autre,46.0634628,5.1544815,156.48956664744765,5.0,nom,RISOLET,38134,F,E,,,,oui
uuid:b0ca7781-4877-4284-9bbd-95b5f37526cb,2020-11-17,Autre,46.0638367,5.1552264,307.51184759195894,5.0,nom,NIECE,38116,F,E,,,,oui
uuid:3f1b93ae-d61d-4029-8a03-f39a1e4847dc,2020-11-17,Autre,46.0603934,5.1583059,322.6152341077104,4.08,nom,FAVIERE,38115,F,RP,,,,oui
uuid:6b7663f8-1803-47ba-b2d0-5e586c3a6bc1,2020-11-17,Autre,46.0587002,5.1569161,321.07658664602786,5.0,nom,PETITE CHAUX,38114,F,E,,,,oui
